|-9x + 115| = 2
|-12x - 81| = 45
|-20x + 139| = 41
|-7x + 23| = 19
|-20x - 72| = 28
|-11x - 106| = 29
|-7x + 0| = 28
|6x + 145| = 43
|16x + 129| = 31
|-13x + 117| = 0
|-11x - 57| = 42
|11x + 148| = 49
|-10x - 183| = 23
|13x - 242| = 5
|-12x + 115| = 43
|4x - 65| = 49
|6x - 37| = 47
|-1x + 8| = 4
|-19x + 362| = 18
|-19x - 255| = 11
|-4x + 8| = 40
|-4x - 60| = 20
|-18x - 271| = 17
|-4x + 11| = 19
|15x + 221| = 34
|-9x - 150| = 24
|-2x + 74| = 38
|-17x + 41| = 10
|15x - 209| = 1
|-9x + 155| = 7
|-2x + 17| = 1
|-20x - 358| = 2
|-1x - 25| = 12
|2x - 35| = 3
|-5x + 89| = 24
|-8x + 86| = 14
|9x + 187| = 16
|17x - 219| = 49
|-5x - 122| = 22
|-16x - 340| = 20
|-4x - 42| = 10
|-7x - 34| = 34
|13x + 123| = 20
|-4x + 68| = 28
|-18x + 134| = 28
|-8x + 131| = 13
|-17x - 9| = 42
|1x - 31| = 50
|13x + 12| = 27
|-8x + 0| = 16
|-1x - 51| = 40
|-1x - 38| = 50
|-3x + 66| = 27
|-5x - 80| = 10
|11x - 163| = 31
|-16x + 63| = 47
|-2x + 54| = 16
|-10x - 125| = 5
|-19x + 364| = 41
|-20x + 283| = 23
|-16x + 126| = 50
|-9x + 91| = 37
|-4x + 34| = 22
|9x + 137| = 29
|-19x + 67| = 48
|11x + 66| = 44
|19x - 251| = 42
|-12x + 237| = 33
|19x + 291| = 32
|-6x + 77| = 41
|-2x - 5| = 5
|8x + 140| = 36
|18x + 61| = 11
|-13x - 103| = 27
|-17x + 1| = 35
|12x + 97| = 1
|8x - 140| = 4
|19x + 45| = 26
|5x + 88| = 3
|20x + 147| = 33
|-16x + 158| = 2
|-1x + 14| = 24
|19x - 201| = 30
|12x - 216| = 0
|20x - 404| = 44
|-3x - 28| = 19
|-16x - 181| = 11
|-14x - 175| = 49
|-16x - 11| = 21
|-15x - 32| = 2
|-15x - 324| = 24
|9x - 136| = 19
|-9x - 131| = 49
|-4x - 27| = 5
|-7x - 134| = 22
|-11x + 84| = 29
|14x + 73| = 45
|-2x + 74| = 40
|-16x + 5| = 11
|12x + 150| = 30
|11x + 144| = 10
|16x + 295| = 25
|-2x + 10| = 6
|-6x + 23| = 25
|8x + 57| = 31
|7x - 115| = 18
|-3x + 9| = 45
|15x + 152| = 17
|13x + 25| = 12
|-9x - 111| = 12
|12x - 142| = 14
|-18x + 262| = 26
|3x + 35| = 10
|-19x + 117| = 22
|-16x - 103| = 23
|-3x + 24| = 9
|-20x + 6| = 46
|-12x - 188| = 28
|-7x - 25| = 25
|-6x - 110| = 10
|18x - 297| = 27
|17x - 19| = 36
|13x + 137| = 20
|14x + 216| = 36
|-6x - 70| = 44
|3x + 14| = 46
|-12x - 78| = 6
|-11x - 77| = 22
|-11x + 72| = 49
|17x - 198| = 6
|-9x - 191| = 11
|-14x - 156| = 44
|-19x - 223| = 33
|17x + 66| = 15
|19x - 308| = 34
|13x - 87| = 43
|-14x + 187| = 5
|-9x + 21| = 24
|8x + 54| = 10
|-13x - 199| = 4
|-7x - 148| = 15
|-12x - 88| = 20
|-8x + 152| = 40
|20x + 340| = 20
|-12x + 97| = 37
|-19x + 221| = 7
|8x - 186| = 34
|-19x + 277| = 27
|10x + 100| = 40
|-7x + 53| = 11
|-15x + 131| = 41
|9x + 43| = 38
|-15x - 28| = 17
|-12x + 19| = 29
|7x + 84| = 35
|11x + 111| = 12
|-12x - 99| = 9
|9x + 40| = 13
|-20x - 262| = 18
|-8x - 164| = 36
|-10x + 56| = 16
|7x - 27| = 50
|7x - 23| = 2
|-15x - 82| = 23
|-17x - 225| = 30
|-12x - 29| = 19
|-6x + 60| = 24
|-14x - 82| = 44
|18x - 150| = 42
|8x + 63| = 49
|-10x - 142| = 28
|-7x - 66| = 45
|-15x + 28| = 28
|-10x - 179| = 49
|-2x + 39| = 25
|-19x + 147| = 43
|-7x + 15| = 22
|20x - 380| = 40
|-2x - 70| = 36
|-6x + 0| = 6
|10x + 167| = 27
|-6x - 153| = 33
|-16x + 125| = 13
|5x + 28| = 42
|-3x + 16| = 44
|-12x - 108| = 48
|4x + 9| = 9
|-11x - 154| = 44
|11x + 181| = 5
|-2x - 12| = 46
|-7x + 23| = 33
|-10x + 86| = 16
|-7x + 105| = 7
|-4x - 10| = 38
|-2x - 53| = 45
|-17x + 33| = 50
|8x - 1| = 9
|-17x - 86| = 33
|6x - 135| = 21
|-13x + 201| = 20
|2x + 31| = 33
|-9x - 39| = 39
|8x + 124| = 28
|-11x + 155| = 45
|-4x + 0| = 0
|18x + 117| = 9
|-5x + 84| = 49
|-3x - 1| = 43
|8x + 139| = 27
|-17x + 6| = 6
|15x + 297| = 27
|-11x + 50| = 28
|-19x + 243| = 42
|-10x - 200| = 20
|2x + 9| = 9
|-6x + 31| = 7
|10x + 2| = 18
|-20x + 101| = 19
|-13x + 30| = 43
|1x + 4| = 0
|-20x - 131| = 49
|-19x - 241| = 44
|-8x - 99| = 13
|9x - 62| = 26
|20x - 294| = 34
|1x - 22| = 11
|-16x + 204| = 28
|18x - 283| = 41
|-18x + 367| = 43
|8x + 70| = 18
|20x - 322| = 2
|16x - 37| = 37
|9x + 17| = 17
|12x + 101| = 29
|2x + 58| = 28
|-3x - 27| = 21
|5x - 74| = 1
|11x + 11| = 33
|-11x + 17| = 39
|-15x + 165| = 15
|18x + 162| = 36
|9x + 149| = 23
|8x - 120| = 24
|-4x + 42| = 34
|5x - 12| = 22
|15x - 256| = 44
|-3x - 15| = 6
|-15x - 177| = 48
|-16x - 101| = 21
|-20x - 194| = 26
|-11x + 184| = 36
|-2x + 39| = 17
|-12x - 209| = 29
|-1x + 60| = 48
|-3x + 20| = 29
|8x + 88| = 32
|-11x - 245| = 25
|10x - 111| = 1
|17x - 194| = 41
|-19x - 12| = 45
|-4x + 1| = 33
|-11x + 176| = 33
|-7x - 20| = 34
|-1x - 45| = 27
|-16x + 289| = 17
|17x + 334| = 28
|-10x - 45| = 15
|8x + 93| = 13
|-4x - 59| = 5
|-10x + 121| = 19
|19x - 178| = 7
|6x + 91| = 19
|7x + 22| = 27
|-11x + 248| = 50
|19x + 186| = 15
|4x - 17| = 17
|-20x + 326| = 26
|18x - 246| = 42
|3x - 3| = 3
|-9x + 87| = 24
|16x + 276| = 28
|5x + 62| = 32
|1x - 47| = 48
|15x + 116| = 41
|4x + 44| = 36
|17x + 292| = 20
|-1x + 23| = 27
|17x - 198| = 40
|-8x + 3| = 3
|7x - 128| = 37
|8x + 16| = 16
|-15x - 124| = 4
|12x - 147| = 15
|11x - 120| = 34
|17x - 339| = 33
|1x - 48| = 45
|4x + 5| = 19
|-2x - 48| = 8
|-6x - 56| = 16
|-20x - 390| = 10
|8x + 151| = 9
|-15x + 247| = 37
|15x + 79| = 34
|-18x - 94| = 22
|-5x + 96| = 41
|3x + 49| = 4
|-1x - 20| = 31
|-9x - 137| = 43
|-2x + 36| = 44
|14x - 163| = 9
|5x - 3| = 7
|-18x + 225| = 9
|12x + 105| = 3
|-19x - 356| = 5
|-9x - 116| = 17
|18x + 81| = 9
|-2x + 34| = 36
|-9x + 23| = 41
|-12x - 172| = 4
|15x - 325| = 40
|-17x + 154| = 35
|18x - 304| = 34
|4x + 52| = 28
|-7x + 29| = 1
|18x + 355| = 31
|1x - 19| = 14
|19x + 152| = 19
|-12x + 161| = 41
|16x + 37| = 11
|1x - 24| = 35
|-18x - 8| = 28
|1x - 40| = 46
|-9x - 3| = 48
|-14x + 189| = 21
|-8x - 77| = 45
|8x - 6| = 38
|10x + 237| = 37
|18x - 202| = 14
|5x - 83| = 43
|13x + 67| = 24
|15x + 48| = 33
|-4x - 14| = 6
|7x - 1| = 50
|15x - 152| = 2
|13x - 212| = 4
|2x + 16| = 20
|-18x + 351| = 9
|5x + 25| = 45
|-15x + 193| = 47
|7x - 155| = 36
|10x + 45| = 35
|-6x + 10| = 14
|8x + 65| = 31
|-5x + 34| = 9
|-12x - 11| = 13
|-20x + 445| = 45
|-16x - 270| = 30
|-10x + 141| = 11
|7x + 0| = 21
|-20x + 227| = 47
|-2x - 15| = 29
|-14x - 91| = 21
|20x - 221| = 39
|7x + 131| = 19
|-12x + 52| = 16
|-20x + 147| = 27
|-18x + 216| = 0
|-5x + 13| = 18
|12x - 22| = 22
|-18x + 193| = 49
|-10x - 156| = 16
|10x - 68| = 18
|4x + 84| = 40
|3x - 84| = 39
|1x + 35| = 40
|15x - 322| = 37
|-11x - 155| = 10
|-16x + 194| = 46
|-2x + 28| = 14
|-9x - 61| = 16
|-17x + 272| = 17
|5x + 17| = 23
|-2x + 70| = 30
|-4x + 43| = 17
|13x + 64| = 25
|15x + 3| = 18
|-9x - 93| = 3
|16x + 328| = 8
|-11x + 58| = 19
|3x - 75| = 24
|-20x + 4| = 24
|-7x + 171| = 31
|15x - 273| = 18
|5x + 115| = 20
|16x + 80| = 32
|-14x + 158| = 10
|14x - 135| = 5
|7x + 59| = 17
|6x + 101| = 17
|-18x + 314| = 8
|-7x - 12| = 33
|-6x - 26| = 22
|17x - 358| = 35
|-1x + 28| = 17
|17x + 83| = 15
|6x + 78| = 30
|-15x + 72| = 12
|-14x - 72| = 30
|15x + 97| = 8
|10x - 200| = 40
|-4x - 16| = 12
|-1x + 15| = 0
|-12x + 104| = 16
|-18x - 27| = 45
|15x + 284| = 16
|5x - 45| = 5
|5x - 59| = 31
|-15x + 24| = 9
|-11x + 50| = 49
|16x + 299| = 5
|-13x + 39| = 13
|5x - 47| = 22
|-5x + 126| = 46
|17x + 0| = 17
|-13x - 187| = 5
|-20x - 239| = 1
|-14x + 293| = 13
|15x - 321| = 21
|-15x + 156| = 39
|19x - 428| = 48
|-4x + 27| = 35
|17x - 319| = 13
|5x - 50| = 0
|7x + 5| = 19
|7x + 26| = 26
|20x + 88| = 28
|-18x + 144| = 18
|7x - 128| = 30
|8x - 87| = 31
|-3x + 7| = 28
|-6x - 67| = 31
|13x - 100| = 35
|11x + 24| = 13
|9x - 49| = 40
|19x - 229| = 18
|-13x - 191| = 9
|-20x - 389| = 49
|16x - 239| = 49
|-13x + 198| = 23
|-12x + 33| = 9
|-14x - 186| = 46
|-9x + 168| = 3
|-4x + 31| = 35
|3x - 30| = 15
|18x - 266| = 50
|-1x - 8| = 10
|-17x - 119| = 0
|13x - 230| = 4
|13x - 223| = 24
|14x + 65| = 37
|15x - 236| = 49
|13x - 126| = 35
|2x + 19| = 9
|20x + 124| = 16
|-20x + 148| = 12
|13x - 221| = 0
|-11x + 223| = 14
|-9x + 39| = 33
|16x - 158| = 14
|15x + 206| = 41
|-7x + 131| = 26
|-14x + 19| = 9
|12x + 119| = 47
|7x + 45| = 17
|12x - 54| = 30
|18x - 6| = 42
|-1x + 12| = 2
|-4x - 6| = 2
|-17x - 169| = 50
|-3x - 12| = 33
|9x - 154| = 17
|-4x - 17| = 49
|1x - 22| = 21
|-13x + 241| = 7
|-11x - 112| = 2
|-8x - 69| = 5
|-13x + 159| = 10
|-6x - 36| = 24
|-9x - 20| = 7
|-13x - 200| = 5
|-4x - 16| = 8
|-8x - 53| = 19
|18x + 281| = 43
|16x - 63| = 1
|1x - 23| = 27
|-7x - 92| = 1
|5x - 46| = 1
|-12x + 149| = 19
|-11x - 43| = 21
|10x - 98| = 18
|8x + 53| = 27
|-19x + 149| = 41
|12x + 46| = 50
|-5x - 92| = 12
|9x - 32| = 49
|3x + 73| = 22
|-15x + 18| = 42
|-12x - 161| = 29
|-20x + 212| = 48
|6x - 30| = 12
|-18x - 202| = 4
|-14x + 256| = 18
|-15x + 119| = 1
|-15x - 297| = 3
|-20x - 151| = 31
|-18x - 142| = 20
|17x + 96| = 11
|16x + 236| = 36
|5x + 2| = 37
|1x + 48| = 42
|4x + 26| = 30
|19x - 255| = 46
|15x + 9| = 24
|6x + 84| = 36
|18x - 229| = 49
|-15x - 111| = 21
|3x - 40| = 16
|-9x + 143| = 26
|11x - 222| = 2
|-12x + 72| = 48
|7x - 138| = 40
|2x - 18| = 16
|-18x - 153| = 9
|18x + 216| = 0
|-3x - 49| = 46
|-16x + 39| = 39
|14x + 152| = 2
|-14x - 89| = 23
|3x + 57| = 6
|20x - 44| = 36
|11x - 127| = 6
|1x + 2| = 10
|-4x + 29| = 17
|-10x + 220| = 30
|15x - 246| = 24
|17x - 127| = 43
|4x - 75| = 11
|-13x - 60| = 5
|17x - 170| = 34
|10x + 5| = 45
|-17x - 343| = 20
|-5x + 6| = 26
|4x - 83| = 15
|-17x - 284| = 5
|19x - 39| = 37
|-13x - 42| = 23
|-20x + 403| = 23
|-4x + 4| = 8
|12x - 75| = 9
|1x + 31| = 42
|17x - 201| = 3
|15x + 188| = 8
|-7x - 143| = 10
|-5x + 16| = 44
|-5x - 42| = 42
|-10x + 214| = 44
|-1x + 20| = 8
|-13x + 140| = 49
|-17x + 59| = 25
|2x - 23| = 11
|10x - 92| = 42
|-19x - 390| = 29
|-19x - 186| = 23
|-15x - 285| = 30
|13x + 33| = 6
|5x + 15| = 20
|-14x + 175| = 7
|5x + 8| = 12
|-14x - 23| = 19
|-13x - 183| = 40
|11x + 140| = 30
|-19x - 192| = 17
|-9x + 68| = 40
|6x - 30| = 12
|2x + 66| = 26
|-18x - 173| = 47
|-3x - 102| = 48
|20x - 234| = 14
|2x + 68| = 48
|17x + 84| = 33
|-9x + 99| = 9
|-10x - 128| = 2
|-9x - 175| = 22
|7x + 54| = 37
|15x - 87| = 42
|14x + 69| = 43
|-10x + 162| = 28
|17x - 334| = 45
|-18x + 353| = 47
|-16x - 218| = 42
|-3x + 6| = 6
|-13x - 185| = 10
|20x + 101| = 21
|-8x + 107| = 35
|-12x - 177| = 3
|10x - 63| = 27
|3x - 30| = 18
|-8x + 12| = 44
|-12x + 136| = 16
|14x - 85| = 1
|-12x + 220| = 16
|-14x + 210| = 0
|-4x - 64| = 8
|16x + 166| = 22
|-15x - 45| = 45
|9x - 208| = 46
|-18x - 266| = 22
|-1x - 61| = 48
|6x + 0| = 18
|4x + 29| = 11
|-9x + 112| = 23
|15x + 52| = 7
|10x + 67| = 17
|12x + 0| = 24
|-1x + 36| = 26
|11x - 130| = 42
|-15x + 299| = 44
|-14x + 186| = 38
|1x - 35| = 20
|20x + 200| = 40
|-6x + 61| = 25
|16x + 16| = 16
|-20x + 101| = 39
|6x - 65| = 47
|13x - 4| = 48
|-20x + 330| = 30
|10x + 117| = 3
|15x - 68| = 7
|15x - 238| = 28
|-9x - 179| = 35
|-13x - 195| = 39
|-8x + 185| = 49
|-20x + 167| = 27
|7x - 78| = 43
|-13x - 201| = 46
|-1x - 22| = 14
|-7x + 135| = 5
|-16x - 236| = 28
|-9x + 127| = 26
|-11x + 104| = 17
|-8x - 141| = 11
|-17x + 309| = 37
|19x + 277| = 30
|-15x + 19| = 49
|-14x - 253| = 27
|-11x - 172| = 29
|9x + 93| = 21
|6x + 80| = 50
|13x - 130| = 26
|-14x - 138| = 40
|20x + 42| = 42
|7x - 49| = 14
|6x - 33| = 45
|-19x + 121| = 26
|17x + 83| = 32
|19x + 153| = 18
|2x + 25| = 1
|-4x + 26| = 42
|-9x + 61| = 34
|-15x - 234| = 39
|-12x + 222| = 6
|-3x - 8| = 1
|4x + 77| = 17
|-7x - 88| = 18
|5x + 100| = 45
|-1x - 12| = 12
|-2x + 57| = 39
|8x - 68| = 44
|-16x - 215| = 39
|-2x - 6| = 8
|16x + 65| = 33
|12x + 137| = 17
|-17x + 36| = 49
|-7x + 54| = 9
|-2x - 17| = 27
|-17x + 243| = 22
|18x - 273| = 21
|10x + 25| = 5
|9x + 65| = 29
|-13x - 13| = 13
|-4x + 12| = 4
|-16x + 223| = 17
|10x - 108| = 22
|-16x - 351| = 31
|8x + 70| = 6
|-20x - 23| = 17
|2x + 13| = 19
|-10x - 35| = 35
|4x - 71| = 3
|-8x - 176| = 32
|-8x + 81| = 17
|-13x + 62| = 42
|-5x + 43| = 37
|-3x + 44| = 4
|-1x - 30| = 43
|-20x - 85| = 25
|-17x - 104| = 49
|7x + 30| = 40
|5x + 84| = 49
|15x - 263| = 8
|-7x - 30| = 19
|19x + 257| = 29
|-1x - 21| = 11
|-10x + 46| = 34
|-3x - 20| = 37
|10x - 212| = 32
|6x + 25| = 35
|-13x + 301| = 41
|12x + 214| = 34
|9x + 14| = 50
|8x + 67| = 11
|-19x - 290| = 43
|10x + 170| = 10
|14x - 300| = 20
|7x - 26| = 12
|-6x - 16| = 10
|3x + 9| = 30
|15x + 246| = 36
|11x - 66| = 33
|-15x - 100| = 10
|-10x + 200| = 40
|-5x - 123| = 23
|2x + 32| = 22
|-17x + 281| = 9
|3x + 74| = 20
|9x + 186| = 15
|19x - 22| = 3
|-19x - 145| = 50
|-9x - 108| = 36
|-14x + 59| = 25
|20x + 375| = 5
|15x - 337| = 37
|-19x + 275| = 28
|-18x + 133| = 47
|-17x + 196| = 25
|6x + 66| = 42
|12x + 72| = 24
|-10x - 24| = 26
|-20x - 425| = 25
|-5x + 73| = 28
|-18x - 125| = 17
|-12x + 182| = 26
|-6x - 23| = 41
|12x - 99| = 27
|9x + 8| = 26
|16x - 336| = 48
|5x - 24| = 36
|20x + 256| = 16
|-11x - 194| = 18
|20x - 192| = 8
|13x + 153| = 49
|6x - 60| = 0
|18x - 299| = 25
|13x - 11| = 41
|15x + 189| = 24
|-2x + 39| = 49
|-18x + 324| = 18
|-10x - 119| = 19
|3x - 24| = 24
|-18x - 155| = 29
|-1x + 46| = 44
|-13x - 18| = 8
|13x + 138| = 44
|-20x + 49| = 49
|16x + 292| = 20
|-2x - 33| = 33
|-14x - 144| = 18
|-5x - 26| = 1
|-15x + 263| = 23
|-10x + 17| = 7
|1x + 41| = 42
|-19x + 143| = 48
|-4x - 37| = 1
|4x - 21| = 37
|8x - 71| = 33
|-4x - 4| = 16
|17x - 261| = 23
|-1x + 15| = 7
|-9x - 25| = 7
|14x - 32| = 4
|-18x - 325| = 35
|10x - 155| = 5
|12x + 228| = 48
|-2x - 29| = 41
|16x - 30| = 14
|2x - 3| = 15
|15x + 56| = 41
|20x + 287| = 13
|-8x + 68| = 28
|-1x + 44| = 32
|-17x - 377| = 37
|14x + 242| = 18
|4x - 5| = 49
|9x + 155| = 7
|7x + 15| = 43
|16x + 325| = 37
|15x + 71| = 34
|-4x + 7| = 27
|-12x - 75| = 27
|-2x - 44| = 48
|-11x + 51| = 7
|-14x - 85| = 27
|-15x + 93| = 12
|-3x - 70| = 28
|-15x + 78| = 42
|15x + 32| = 47
|16x + 73| = 7
|-18x - 309| = 15
|-2x - 9| = 21
|17x + 112| = 41
|1x + 16| = 14
|14x + 233| = 47
|13x - 164| = 8
|-5x - 58| = 2
|14x + 59| = 25
|-2x + 12| = 32
|18x + 304| = 2
|-9x - 22| = 41
|16x - 113| = 49
|10x + 225| = 35
|9x + 72| = 27
|-15x - 280| = 10
|15x + 261| = 36
|-12x - 146| = 34
|-2x + 10| = 2
|-6x + 11| = 43
|5x + 36| = 36
|-15x - 99| = 9
|4x + 77| = 25
|11x + 94| = 28
|16x + 173| = 29
|17x - 336| = 13
|8x + 127| = 25
|-7x + 165| = 46
|5x - 129| = 29
|-14x - 100| = 12
|3x - 26| = 16
|-16x - 129| = 15
|-13x - 11| = 11
|-10x - 18| = 38
|11x - 50| = 16
|8x + 3| = 43
|5x + 79| = 44
|7x - 19| = 5
|-4x - 43| = 5
|-18x + 281| = 7
|16x - 178| = 30
|-2x + 11| = 11
|17x + 90| = 29
|-18x + 219| = 3
|-1x + 45| = 31
|-7x - 104| = 27
|-2x - 11| = 43
|-9x + 6| = 3
|6x - 120| = 0
|9x + 124| = 43
|10x + 124| = 24
|15x + 327| = 27
|12x - 154| = 14
|-13x - 27| = 38
|17x + 228| = 27
|-20x + 7| = 7
|20x + 131| = 11
|-20x - 94| = 6
|2x - 8| = 8
|4x + 73| = 5
|-10x + 150| = 40
|-16x + 262| = 38
|19x + 270| = 4
|3x - 17| = 17
|20x - 427| = 27
|12x - 14| = 46
|-3x - 38| = 14
|-9x - 57| = 42
|9x + 81| = 45
|-11x + 56| = 23
|-20x + 236| = 16
